Date,Users,Sessions
"Aug 2, 2013",0,16
"Aug 3, 2013",0,14
"Aug 4, 2013",0,5
"Aug 5, 2013",0,15
"Aug 6, 2013",0,23
"Aug 7, 2013",0,19
"Aug 8, 2013",0,15
"Aug 9, 2013",0,11
"Aug 10, 2013",0,7
"Aug 11, 2013",0,4
"Aug 12, 2013",0,18
"Aug 13, 2013",0,17
"Aug 14, 2013",0,16
"Aug 15, 2013",0,13
"Aug 16, 2013",0,13
"Aug 17, 2013",0,10
"Aug 18, 2013",0,7
"Aug 19, 2013",0,15
"Aug 20, 2013",0,11
"Aug 21, 2013",0,10
"Aug 22, 2013",0,14
"Aug 23, 2013",0,19
"Aug 24, 2013",0,12
"Aug 25, 2013",0,13
"Aug 26, 2013",0,12
"Aug 27, 2013",0,8
"Aug 28, 2013",0,10
"Aug 29, 2013",0,16
"Aug 30, 2013",0,13
"Aug 31, 2013",0,5
"Sep 1, 2013",0,9
"Sep 2, 2013",0,11
"Sep 3, 2013",0,9
"Sep 4, 2013",0,19
"Sep 5, 2013",0,10
"Sep 6, 2013",0,8
"Sep 7, 2013",0,11
"Sep 8, 2013",0,4
"Sep 9, 2013",0,14
"Sep 10, 2013",0,19
"Sep 11, 2013",0,18
"Sep 12, 2013",0,16
"Sep 13, 2013",0,17
"Sep 14, 2013",0,13
"Sep 15, 2013",0,5
"Sep 16, 2013",0,18
"Sep 17, 2013",0,15
"Sep 18, 2013",0,21
"Sep 19, 2013",0,25
"Sep 20, 2013",0,21
"Sep 21, 2013",0,14
"Sep 22, 2013",0,10
"Sep 23, 2013",0,30
"Sep 24, 2013",0,24
"Sep 25, 2013",0,29
"Sep 26, 2013",0,24
"Sep 27, 2013",0,28
"Sep 28, 2013",0,23
"Sep 29, 2013",0,8
"Sep 30, 2013",0,42
"Oct 1, 2013",0,41
"Oct 2, 2013",0,31
"Oct 3, 2013",0,28
"Oct 4, 2013",0,27
"Oct 5, 2013",0,21
"Oct 6, 2013",0,12
"Oct 7, 2013",0,29
"Oct 8, 2013",0,31
"Oct 9, 2013",0,30
"Oct 10, 2013",0,22
"Oct 11, 2013",0,34
"Oct 12, 2013",0,19
"Oct 13, 2013",0,15
"Oct 14, 2013",0,19
"Oct 15, 2013",0,26
"Oct 16, 2013",0,32
"Oct 17, 2013",0,30
"Oct 18, 2013",0,38
"Oct 19, 2013",0,21
"Oct 20, 2013",0,15
"Oct 21, 2013",0,35
"Oct 22, 2013",0,27
"Oct 23, 2013",0,27
"Oct 24, 2013",0,32
"Oct 25, 2013",0,23
"Oct 26, 2013",0,29
"Oct 27, 2013",0,16
"Oct 28, 2013",0,21
"Oct 29, 2013",0,35
"Oct 30, 2013",0,30
"Oct 31, 2013",0,31
"Nov 1, 2013",0,18
"Nov 2, 2013",0,18
"Nov 3, 2013",0,16
"Nov 4, 2013",0,27
"Nov 5, 2013",0,28
"Nov 6, 2013",0,40
"Nov 7, 2013",0,39
"Nov 8, 2013",0,37
"Nov 9, 2013",0,27
"Nov 10, 2013",0,25
"Nov 11, 2013",0,43
"Nov 12, 2013",0,33
"Nov 13, 2013",0,24
"Nov 14, 2013",0,32
"Nov 15, 2013",0,33
"Nov 16, 2013",0,36
"Nov 17, 2013",0,23
"Nov 18, 2013",0,35
"Nov 19, 2013",0,53
"Nov 20, 2013",0,37
"Nov 21, 2013",0,44
"Nov 22, 2013",0,40
"Nov 23, 2013",0,37
"Nov 24, 2013",0,19
"Nov 25, 2013",0,50
"Nov 26, 2013",0,51
"Nov 27, 2013",0,46
"Nov 28, 2013",0,39
"Nov 29, 2013",0,33
"Nov 30, 2013",0,39
"Dec 1, 2013",0,21
"Dec 2, 2013",0,57
"Dec 3, 2013",0,56
"Dec 4, 2013",0,63
"Dec 5, 2013",0,44
"Dec 6, 2013",0,35
"Dec 7, 2013",0,27
"Dec 8, 2013",0,23
"Dec 9, 2013",0,39
"Dec 10, 2013",0,26
"Dec 11, 2013",0,40
"Dec 12, 2013",0,42
"Dec 13, 2013",0,45
"Dec 14, 2013",0,32
"Dec 15, 2013",0,15
"Dec 16, 2013",0,42
"Dec 17, 2013",0,35
"Dec 18, 2013",0,57
"Dec 19, 2013",0,39
"Dec 20, 2013",0,45
"Dec 21, 2013",0,33
"Dec 22, 2013",0,29
"Dec 23, 2013",0,51
"Dec 24, 2013",0,31
"Dec 25, 2013",0,24
"Dec 26, 2013",0,39
"Dec 27, 2013",0,31
"Dec 28, 2013",0,21
"Dec 29, 2013",0,23
"Dec 30, 2013",0,46
"Dec 31, 2013",0,30
"Jan 1, 2014",0,16
"Jan 2, 2014",0,50
"Jan 3, 2014",0,49
"Jan 4, 2014",0,33
"Jan 5, 2014",0,24
"Jan 6, 2014",0,49
"Jan 7, 2014",0,57
"Jan 8, 2014",0,60
"Jan 9, 2014",0,44
"Jan 10, 2014",0,53
"Jan 11, 2014",0,37
"Jan 12, 2014",0,25
"Jan 13, 2014",0,38
"Jan 14, 2014",0,50
"Jan 15, 2014",0,32
"Jan 16, 2014",0,33
"Jan 17, 2014",0,40
"Jan 18, 2014",0,32
"Jan 19, 2014",0,24
"Jan 20, 2014",0,53
"Jan 21, 2014",0,68
"Jan 22, 2014",0,68
"Jan 23, 2014",0,75
"Jan 24, 2014",0,47
"Jan 25, 2014",0,42
"Jan 26, 2014",0,126
"Jan 27, 2014",0,96
"Jan 28, 2014",0,57
"Jan 29, 2014",0,55
"Jan 30, 2014",0,76
"Jan 31, 2014",0,50
"Feb 1, 2014",0,41
"Feb 2, 2014",0,35
"Feb 3, 2014",0,49
"Feb 4, 2014",0,63
"Feb 5, 2014",0,68
"Feb 6, 2014",0,84
"Feb 7, 2014",0,53
"Feb 8, 2014",0,50
"Feb 9, 2014",0,34
"Feb 10, 2014",0,67
"Feb 11, 2014",0,62
"Feb 12, 2014",0,52
"Feb 13, 2014",0,49
"Feb 14, 2014",0,65
"Feb 15, 2014",0,43
"Feb 16, 2014",0,31
"Feb 17, 2014",0,83
"Feb 18, 2014",0,101
"Feb 19, 2014",0,103
"Feb 20, 2014",0,72
"Feb 21, 2014",0,80
"Feb 22, 2014",0,53
"Feb 23, 2014",0,61
"Feb 24, 2014",0,76
"Feb 25, 2014",0,81
"Feb 26, 2014",0,76
"Feb 27, 2014",0,67
"Feb 28, 2014",0,71
"Mar 1, 2014",0,54
"Mar 2, 2014",0,30
"Mar 3, 2014",0,79
"Mar 4, 2014",0,85
"Mar 5, 2014",0,73
"Mar 6, 2014",0,78
"Mar 7, 2014",0,73
"Mar 8, 2014",0,56
"Mar 9, 2014",0,41
"Mar 10, 2014",0,82
"Mar 11, 2014",0,60
"Mar 12, 2014",0,70
"Mar 13, 2014",0,87
"Mar 14, 2014",0,68
"Mar 15, 2014",0,40
"Mar 16, 2014",0,36
"Mar 17, 2014",0,57
"Mar 18, 2014",0,80
"Mar 19, 2014",0,81
"Mar 20, 2014",0,69
"Mar 21, 2014",0,79
"Mar 22, 2014",0,74
"Mar 23, 2014",0,49
"Mar 24, 2014",0,68
"Mar 25, 2014",0,97
"Mar 26, 2014",0,116
"Mar 27, 2014",0,102
"Mar 28, 2014",0,98
"Mar 29, 2014",0,53
"Mar 30, 2014",0,57
"Mar 31, 2014",0,86
